Emotion,Sentiment
abhorrence,Negative
abnormality,Negative
acceptance,Positive
acknowledgment,Positive
activeness,Neutral
adamancy,Unknown
admiration,Positive
aggravation,Negative
aggrievement,Unknown
aghast,Negative
agitation,Negative
agony,Negative
agreement,Positive
alarm,Negative
alertness,Positive
amazement,Neutral
ambivalence,Unknown
ambush,Negative
amiss,Unknown
amusement,Positive
anger,Negative
anguish,Negative
annoyance,Negative
anticipation,Neutral
anxious,Negative
apathy,Negative
appeasement,Unknown
apprehension,Negative
arousal,Neutral
arrogance,Negative
assured,Positive
astonishment,Positive
astounded,Positive
attack,Negative
attentiveness,Unknown
attraction,Positive
aversion,Negative
awakeness,Neutral
awareness,Unknown
awe,Neutral
awfulness,Negative
bad,Negative
baffled,Neutral
beatified,Unknown
befuddlement,Unknown
belittlement,Unknown
belligerence,Unknown
bemused,Neutral
bewilderment,Neutral
bipolarity,Unknown
bitterness,Negative
blank,Neutral
bleakness,Unknown
blessedness,Unknown
blues,Negative
bombshell,Unknown
boredom,Negative
braggadocio,Unknown
bummer,Negative
burdened,Unknown
burn,Neutral
calculation,Neutral
callousness,Unknown
calm,Positive
calmness,Neutral
capriciousness,Unknown
casualness,Unknown
caution,Negative
celebration,Positive
chagrin,Negative
change,Neutral
charge,Neutral
charm,Positive
cheer,Positive
cheerful,Positive
cheerfulness,Positive
clownish,Unknown
cockiness,Unknown
coldness,Negative
comfortable,Positive
comicality,Neutral
complacency,Positive
completion,Positive
complexation,Unknown
composed,Positive
compression,Neutral
concern,Neutral
concession,Neutral
condescension,Negative
confidence,Positive
confusion,Negative
contempt,Negative
content,Positive
coolness,Positive
criticism,Negative
cruelty,Negative
crush,Neutral
curiosity,Positive
cuteness,Unknown
cynicism,Unknown
danger,Negative
darkness,Negative
dazzle,Unknown
deadpan,Unknown
deception,Negative
defeat,Negative
defiance,Negative
deflation,Negative
dejection,Unknown
delicacy,Neutral
delight,Positive
depression,Negative
derision,Negative
desolate,Unknown
despair,Negative
despondent,Unknown
detachment,Negative
deterioration,Negative
determination,Positive
detestation,Unknown
devastation,Negative
diffidence,Unknown
disappointment,Negative
disapproval,Negative
disbelief,Neutral
discomfort,Negative
disconcert,Unknown
discontent,Negative
discouragement,Negative
disdain,Negative
disgruntled,Negative
disgust,Negative
disheartened,Negative
disinterest,Negative
dislike,Negative
dismalness,Unknown
dismay,Negative
dismissive,Unknown
dispiritedness,Unknown
displeasure,Negative
disregard,Negative
dissatisfaction,Negative
distaste,Negative
distress,Negative
distrust,Negative
disturbance,Negative
dizziness,Negative
doubt,Negative
dread,Negative
dreary,Negative
dubious,Negative
dullness,Unknown
eagerness,Positive
easygoing,Positive
ecstasy,Positive
elated,Positive
embarrassment,Negative
embittered,Unknown
empathy,Positive
emptiness,Neutral
enamored,Unknown
enchantment,Neutral
encouragement,Positive
enjoyment,Positive
enmity,Negative
enraged,Unknown
entertainment,Positive
enthusiasm,Positive
envy,Unknown
evaluation,Unknown
exacerbated,Unknown
excitement,Positive
exhilaration,Positive
expectation,Positive
eye-opener,Unknown
failure,Negative
fairness,Positive
falseness,Unknown
fear,Negative
